date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:46:39	505/505	---M--	404	error ('Not%20Found')	text/html	etag:%221f9-5d08e37c2ccc0%22	https://tieppoautomoveis.com.br/robots.txt		(from )
21:46:47	49675/49675	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Aug%202023%2000:46:40%20GMT	https://tieppoautomoveis.com.br/	C:/tippoutomoveis/tieppoautomoveis.com.br/index.html	(from )
21:46:49	790/790	---M--	200	added ('OK')	image/x-icon	etag:%22316-5d08e37c2ccc0%22	https://tieppoautomoveis.com.br/favicon.ico	C:/tippoutomoveis/tieppoautomoveis.com.br/favicon.ico	(from https://tieppoautomoveis.com.br/)
21:46:51	27466/27466	---MCZ	200	added ('OK')	text/css	etag:W/%224fbd15cb6047af93373f4f895639c8bf%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	C:/tippoutomoveis/maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	(from https://tieppoautomoveis.com.br/)
21:46:57	505/505	---M--	404	error ('Not%20Found')	text/html	etag:%221f9-5d08e37c2ccc0%22	https://www.tieppoautomoveis.com.br/img/favicon.png	C:/tippoutomoveis/www.tieppoautomoveis.com.br/img/favicon.3.delayed	(from https://tieppoautomoveis.com.br/)
21:47:07	131797/131797	---M--	200	added ('OK')	text/css	etag:%22202d5-5d08e37c2ccc0%22	https://www.tieppoautomoveis.com.br/css/bootstrap.css	C:/tippoutomoveis/www.tieppoautomoveis.com.br/css/bootstrap.css	(from https://tieppoautomoveis.com.br/)
21:47:08	796494/796494	---M--	200	added ('OK')	image/gif	etag:%22c274e-5d08e37d20f00%22	https://www.tieppoautomoveis.com.br/images/whatsapp_animated.gif	C:/tippoutomoveis/www.tieppoautomoveis.com.br/images/whatsapp_animated.gif	(from https://tieppoautomoveis.com.br/)
21:47:13	123025/123025	---M--	200	added ('OK')	text/css	etag:%221e091-5d08e37a44840%22	https://www.tieppoautomoveis.com.br/css/bootstrap.min.css	C:/tippoutomoveis/www.tieppoautomoveis.com.br/css/bootstrap.min.css	(from https://tieppoautomoveis.com.br/)
21:47:14	1190/1190	---M--	200	added ('OK')	text/css	etag:%224a6-5d08e37c2ccc0%22	https://www.tieppoautomoveis.com.br/css/bootstrap-theme.css	C:/tippoutomoveis/www.tieppoautomoveis.com.br/css/bootstrap-theme.css	(from https://tieppoautomoveis.com.br/)
21:47:15	1148/1148	---M--	200	added ('OK')	text/css	etag:%2247c-5d08e37c2ccc0%22	https://www.tieppoautomoveis.com.br/css/bootstrap-multiselect.css	C:/tippoutomoveis/www.tieppoautomoveis.com.br/css/bootstrap-multiselect.css	(from https://tieppoautomoveis.com.br/)
21:47:17	38334/38334	---M--	200	added ('OK')	text/css	etag:%2295be-5f3149702ec80%22	https://www.tieppoautomoveis.com.br/css/style.css	C:/tippoutomoveis/www.tieppoautomoveis.com.br/css/style.css	(from https://tieppoautomoveis.com.br/)
21:47:18	8338/8338	---M--	200	added ('OK')	text/css	etag:%222092-5d08e37c2ccc0%22	https://www.tieppoautomoveis.com.br/css/bootstrap-slider.css	C:/tippoutomoveis/www.tieppoautomoveis.com.br/css/bootstrap-slider.css	(from https://tieppoautomoveis.com.br/)
21:47:20	1851/1851	---M--	200	added ('OK')	text/css	etag:%2273b-5d08e37c2ccc0%22	https://www.tieppoautomoveis.com.br/css/pagination.css	C:/tippoutomoveis/www.tieppoautomoveis.com.br/css/pagination.css	(from https://tieppoautomoveis.com.br/)
